ID,Data,Avaliador,Marca,Moagem,Metodo,Po_g,Agua_ml,Proporcao,Tempo,Observacoes,ID_Ultimo_Cafe,Cafe_Anterior,Veredito
1,06/09/2026,Gian,Kroma,18.0,Coador de Papel,25.0,300.0,1:12,,,,Nenhum,Sem base de comparação
2,06/09/2026,Gian,Kroma,16.0,Coador de Papel,20.0,300.0,1:15,,,1.0,Kroma no(a) Coador de Papel,Pior ❌
